Id,Title,Topics
wdw,Walt Disney World,play
mk,Magic Kingdom,play
ak,Animal Kingdom,play
hs,Hollywood Studios,play
ep,Epcot,play
tl,Tyhoon Lagoon,play
bb,Blizzard Beach,play
dlr,Disneyland,play
adv,Adventureland,play
vbr,Vero Beach Resort,sleep
hh,Hilton Head,sleep
par,Disneyland Paris,play
tok,Disneyland Tokyo,play
hk,Disneyland Hong Kong,play
shg,Disneyland Shanghai,play
py,Polynesian,sleep;eat
gf,Grand Floridian,sleep;eat
dm,Disney Magic	,cruise
dw,Disney Wonder,cruise
dd,Disney Dream	,cruise
df,Disney Fantasy,cruise
